code,city,country,state,county,time_zone,is_primary_location,location_rank,postal_code_rank,source,evidence_count
1010,Wien,AT,Wien,,W. Europe Standard Time,true,1,15,postal_boundary,3855
1011,Wien,AT,Wien,,W. Europe Standard Time,true,1,24,address_fallback,5
1016,Wien,AT,Wien,,W. Europe Standard Time,true,1,27,address_fallback,3
1020,Wien,AT,Wien,,W. Europe Standard Time,true,1,11,postal_boundary,6657
1030,Wien,AT,Wien,,W. Europe Standard Time,true,1,13,postal_boundary,5346
1034,Wien,AT,Wien,,W. Europe Standard Time,true,1,28,address_fallback,3
1037,Wien,AT,Wien,,W. Europe Standard Time,true,1,29,address_fallback,3
1040,Wien,AT,Wien,,W. Europe Standard Time,true,1,21,postal_boundary,2236
1050,Wien,AT,Wien,,W. Europe Standard Time,true,1,18,postal_boundary,2957
1060,Wien,AT,Wien,,W. Europe Standard Time,true,1,20,postal_boundary,2287
1070,Wien,AT,Wien,,W. Europe Standard Time,true,1,19,postal_boundary,2678
1080,Wien,AT,Wien,,W. Europe Standard Time,true,1,22,postal_boundary,1698
1082,Wien,AT,Wien,,W. Europe Standard Time,true,1,30,address_fallback,3
1090,Wien,AT,Wien,,W. Europe Standard Time,true,1,16,postal_boundary,3324
1092,Wien,AT,Wien,,W. Europe Standard Time,true,1,31,address_fallback,3
1097,Wien,AT,Wien,,W. Europe Standard Time,true,1,25,address_fallback,4
1100,Wien,AT,Wien,,W. Europe Standard Time,true,1,4,postal_boundary,14190
1104,Wien,AT,Wien,,W. Europe Standard Time,true,1,32,address_fallback,3
1110,Wien,AT,Wien,,W. Europe Standard Time,true,1,10,postal_boundary,6740
1120,Wien,AT,Wien,,W. Europe Standard Time,true,1,9,postal_boundary,7216
1122,Wien,AT,Wien,,W. Europe Standard Time,true,1,26,address_fallback,4
1130,Wien,AT,Wien,,W. Europe Standard Time,true,1,5,postal_boundary,11185
1140,Wien,AT,Wien,Bezirk St. Pölten,W. Europe Standard Time,true,1,1,postal_boundary,0
1140,Wien,AT,Wien,Bezirk Tulln,W. Europe Standard Time,false,2,1,postal_boundary,0
1150,Wien,AT,Wien,,W. Europe Standard Time,true,1,14,postal_boundary,4195
1160,Wien,AT,Wien,,W. Europe Standard Time,true,1,7,postal_boundary,8060
1163,Wien,AT,Wien,,W. Europe Standard Time,true,1,33,address_fallback,3
1170,Wien,AT,Wien,,W. Europe Standard Time,true,1,8,postal_boundary,7318
1172,Wien,AT,Wien,,W. Europe Standard Time,true,1,34,address_fallback,3
1180,Wien,AT,Wien,,W. Europe Standard Time,true,1,12,postal_boundary,5819
1182,Wien,AT,Wien,,W. Europe Standard Time,true,1,35,address_fallback,3
1190,Wien,AT,Wien,,W. Europe Standard Time,true,1,6,postal_boundary,10259
1200,Wien,AT,Wien,,W. Europe Standard Time,true,1,17,postal_boundary,3033
1203,Wien,AT,Wien,,W. Europe Standard Time,true,1,36,address_fallback,3
1210,Wien,AT,Wien,,W. Europe Standard Time,true,1,2,postal_boundary,21432
1220,Wien,AT,Wien,,W. Europe Standard Time,true,1,1,postal_boundary,34988
1230,Wien,AT,Wien,,W. Europe Standard Time,true,1,3,postal_boundary,17092
1232,Wien,AT,Wien,,W. Europe Standard Time,true,1,23,address_fallback,7
1300,Wien-Flughafen,AT,Niederösterreich,Bezirk Bruck an der Leitha,W. Europe Standard Time,true,1,1,postal_boundary,15
1423,Wien,AT,Wien,,W. Europe Standard Time,true,1,37,address_fallback,3
2000,Stockerau,AT,Niederösterreich,Bezirk Korneuburg,W. Europe Standard Time,true,1,1,postal_boundary,4225
2002,Großmugl,AT,Niederösterreich,Bezirk Korneuburg,W. Europe Standard Time,true,1,1,postal_boundary,427
2003,Leitzersdorf,AT,Niederösterreich,Bezirk Korneuburg,W. Europe Standard Time,true,1,1,postal_boundary,321
2004,Niederhollabrunn,AT,Niederösterreich,Bezirk Korneuburg,W. Europe Standard Time,true,1,1,postal_boundary,380
2011,Sierndorf,AT,Niederösterreich,Bezirk Korneuburg,W. Europe Standard Time,true,1,1,postal_boundary,748
