code,city,country,county,time_zone,is_primary_location,location_rank,postal_code_rank,source,evidence_count
10115,Berlin Mitte,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
10117,Berlin Mitte,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
10119,Berlin Mitte,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
10178,Berlin Mitte,DE,,W. Europe Standard Time,true,1,4,postal_boundary,0
10179,Berlin Mitte,DE,,W. Europe Standard Time,true,1,5,postal_boundary,0
10243,Berlin Friedrichshain,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
10245,Berlin Friedrichshain,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
10247,Berlin Friedrichshain,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
10249,Berlin Friedrichshain,DE,,W. Europe Standard Time,true,1,4,postal_boundary,0
10315,Berlin Friedrichsfelde,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
10317,Berlin Rummelsburg,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
10318,Berlin Karlshorst,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
10319,Berlin Friedrichsfelde,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
10365,Berlin Lichtenberg,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
10367,Berlin Lichtenberg,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
10369,Berlin Lichtenberg,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
10405,Berlin Prenzlauer Berg,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
10407,Berlin Prenzlauer Berg,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
10409,Berlin Prenzlauer Berg,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
10435,Berlin Prenzlauer Berg,DE,,W. Europe Standard Time,true,1,4,postal_boundary,0
10437,Berlin Prenzlauer Berg,DE,,W. Europe Standard Time,true,1,5,postal_boundary,0
10439,Berlin Prenzlauer Berg,DE,,W. Europe Standard Time,true,1,6,postal_boundary,0
10551,Berlin Moabit,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
10553,Berlin Moabit,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
10555,Berlin Moabit,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
10557,Berlin Moabit,DE,,W. Europe Standard Time,true,1,4,postal_boundary,0
10559,Berlin Moabit,DE,,W. Europe Standard Time,true,1,5,postal_boundary,0
10585,Berlin Charlottenburg,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
10587,Berlin Charlottenburg,DE,,W. Europe Standard Time,true,1,2,postal_boundary,0
10589,Berlin Charlottenburg,DE,,W. Europe Standard Time,true,1,3,postal_boundary,0
10623,Berlin Charlottenburg,DE,,W. Europe Standard Time,true,1,4,postal_boundary,0
10625,Berlin Charlottenburg,DE,,W. Europe Standard Time,true,1,5,postal_boundary,0
10627,Berlin Charlottenburg,DE,,W. Europe Standard Time,true,1,6,postal_boundary,0
10629,Berlin Charlottenburg,DE,,W. Europe Standard Time,true,1,7,postal_boundary,0
10707,Berlin Wilmersdorf,DE,,W. Europe Standard Time,true,1,1,postal_boundary,0
