code,city,country,county,time_zone,is_primary_location,location_rank,postal_code_rank,source,evidence_count
66111,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,9,postal_boundary,2386
66113,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,2,postal_boundary,4175
66115,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,3,postal_boundary,3633
66117,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,8,postal_boundary,2769
66119,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,5,postal_boundary,3306
66121,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,7,postal_boundary,2945
66123,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,6,postal_boundary,3010
66125,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,1,postal_boundary,6403
66126,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,11,postal_boundary,1445
66127,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,16,postal_boundary,738
66128,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,10,postal_boundary,2130
66129,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,15,postal_boundary,1265
66130,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,4,postal_boundary,3536
66131,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,12,postal_boundary,1378
66132,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,13,postal_boundary,1344
66133,Saarbrücken,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,14,postal_boundary,1266
66265,Heusweiler,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,1,postal_boundary,6555
66271,Kleinblittersdorf,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,1,postal_boundary,3930
66280,Sulzbach/Saar,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,1,postal_boundary,5154
66287,Quierschied,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,1,postal_boundary,4979
66292,Riegelsberg,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,1,postal_boundary,4951
66299,Friedrichsthal,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,1,postal_boundary,3237
66333,Völklingen,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,1,postal_boundary,11358
66346,Püttlingen,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,1,postal_boundary,6550
66352,Großrosseln,DE,Regionalverband Saarbrücken,W. Europe Standard Time,true,1,1,postal_boundary,2971
66359,Bous,DE,Landkreis Saarlouis,W. Europe Standard Time,true,1,1,postal_boundary,2273
66386,Sankt Ingbert,DE,Saarpfalz-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,13128
66399,Mandelbachtal,DE,Saarpfalz-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,4228
66421,Homburg,DE,Saarpfalz-Kreis,W. Europe Standard Time,true,1,2,address_fallback,8
66424,Homburg,DE,Saarpfalz-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,12490
66440,Blieskastel,DE,Saarpfalz-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,8357
66450,Bexbach,DE,Saarpfalz-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,6746
66453,Gersheim,DE,Saarpfalz-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,2602
66459,Kirkel,DE,Saarpfalz-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,3875
66538,Neunkirchen,DE,Landkreis Neunkirchen,W. Europe Standard Time,true,1,1,postal_boundary,4745
66539,Neunkirchen,DE,Landkreis Neunkirchen,W. Europe Standard Time,true,1,3,postal_boundary,3721
66540,Neunkirchen,DE,Landkreis Neunkirchen,W. Europe Standard Time,true,1,2,postal_boundary,4543
66557,Illingen,DE,Landkreis Neunkirchen,W. Europe Standard Time,true,1,1,postal_boundary,6418
66564,Ottweiler,DE,Landkreis Neunkirchen,W. Europe Standard Time,true,1,1,postal_boundary,5108
66571,Eppelborn,DE,Landkreis Neunkirchen,W. Europe Standard Time,true,1,1,postal_boundary,6231
66578,Schiffweiler,DE,Landkreis Neunkirchen,W. Europe Standard Time,true,1,1,postal_boundary,6036
66583,Spiesen-Elversberg,DE,Landkreis Neunkirchen,W. Europe Standard Time,true,1,1,postal_boundary,4513
66589,Merchweiler,DE,Landkreis Neunkirchen,W. Europe Standard Time,true,1,1,postal_boundary,3975
66606,Sankt Wendel,DE,Landkreis St. Wendel,W. Europe Standard Time,true,1,1,postal_boundary,9376
66620,Nonnweiler,DE,Landkreis St. Wendel,W. Europe Standard Time,true,1,1,postal_boundary,3512
66625,Nohfelden,DE,Landkreis St. Wendel,W. Europe Standard Time,true,1,1,postal_boundary,4414
66629,Freisen,DE,Landkreis St. Wendel,W. Europe Standard Time,true,1,1,postal_boundary,3049
66636,Tholey,DE,Landkreis St. Wendel,W. Europe Standard Time,true,1,1,postal_boundary,4647
66640,Namborn,DE,Landkreis St. Wendel,W. Europe Standard Time,true,1,1,postal_boundary,2736
66646,Marpingen,DE,Landkreis St. Wendel,W. Europe Standard Time,true,1,1,postal_boundary,3995
66649,Oberthal,DE,Landkreis St. Wendel,W. Europe Standard Time,true,1,1,postal_boundary,2221
66663,Merzig,DE,Landkreis Merzig-Wadern,W. Europe Standard Time,true,1,1,postal_boundary,10648
66679,Losheim,DE,Landkreis Merzig-Wadern,W. Europe Standard Time,true,1,1,postal_boundary,0
66687,Wadern,DE,Landkreis Merzig-Wadern,W. Europe Standard Time,true,1,1,postal_boundary,6466
66693,Mettlach,DE,Landkreis Merzig-Wadern,W. Europe Standard Time,true,1,1,postal_boundary,4775
