code,city,country,state,county,time_zone,is_primary_location,location_rank,postal_code_rank,source,evidence_count
04600,Altenburg,DE,Thüringen,Altenburger Land,W. Europe Standard Time,true,1,1,postal_boundary,6777
04603,Göhren,DE,Thüringen,Altenburger Land,W. Europe Standard Time,false,3,1,postal_boundary,11
04603,Nobitz,DE,Thüringen,Altenburger Land,W. Europe Standard Time,true,1,1,postal_boundary,2975
04603,Windischleuba,DE,Thüringen,Altenburger Land,W. Europe Standard Time,false,2,1,postal_boundary,350
04610,Meuselwitz,DE,Thüringen,Altenburger Land,W. Europe Standard Time,true,1,1,postal_boundary,3401
04613,Lucka,DE,Thüringen,Altenburger Land,W. Europe Standard Time,true,1,1,postal_boundary,931
04617,Rositz,DE,Thüringen,Altenburger Land,W. Europe Standard Time,false,2,1,postal_boundary,454
04617,Starkenberg,DE,Thüringen,Altenburger Land,W. Europe Standard Time,true,1,1,postal_boundary,769
04617,Treben,DE,Thüringen,Altenburger Land,W. Europe Standard Time,false,3,1,postal_boundary,83
04618,Langenleuba-Niederhain,DE,Thüringen,Altenburger Land,W. Europe Standard Time,true,1,1,postal_boundary,670
04626,Altkirchen,DE,Thüringen,Altenburger Land,W. Europe Standard Time,false,2,1,postal_boundary,0
04626,Nöbdenitz u.a.,DE,Thüringen,Altenburger Land,W. Europe Standard Time,false,3,1,postal_boundary,0
04626,Schmölln,DE,Thüringen,Altenburger Land,W. Europe Standard Time,true,1,1,postal_boundary,4615
04639,Gößnitz,DE,Thüringen,Altenburger Land,W. Europe Standard Time,true,1,1,postal_boundary,1153
04654,Frohburg,DE,Thüringen,Altenburger Land,W. Europe Standard Time,true,1,1,address_fallback,137
06556,Artern/Unstrut u.a.,DE,Thüringen,Kyffhäuserkreis,W. Europe Standard Time,true,1,1,postal_boundary,0
06567,Bad Frankenhausen/Kyffhäuser,DE,Thüringen,Kyffhäuserkreis,W. Europe Standard Time,true,1,1,postal_boundary,453
06571,Gehofen,DE,Thüringen,Kyffhäuserkreis,W. Europe Standard Time,false,2,1,postal_boundary,321
06571,Roßleben-Wiehe,DE,Thüringen,Kyffhäuserkreis,W. Europe Standard Time,true,1,1,postal_boundary,3018
06577,An der Schmücke,DE,Thüringen,Kyffhäuserkreis,W. Europe Standard Time,true,1,1,postal_boundary,1002
06577,Etzleben,DE,Thüringen,Kyffhäuserkreis,W. Europe Standard Time,false,3,1,postal_boundary,1
06577,Oberheldrungen,DE,Thüringen,Kyffhäuserkreis,W. Europe Standard Time,false,2,1,postal_boundary,6
07318,Saalfeld/Saale,DE,Thüringen,Landkreis Saalfeld-Rudolstadt,W. Europe Standard Time,true,1,1,postal_boundary,5134
07330,Probstzella,DE,Thüringen,Landkreis Saalfeld-Rudolstadt,W. Europe Standard Time,true,1,1,postal_boundary,613
07333,Unterwellenborn,DE,Thüringen,Landkreis Saalfeld-Rudolstadt,W. Europe Standard Time,true,1,1,postal_boundary,899
07338,Kaulsdorf,DE,Thüringen,Landkreis Saalfeld-Rudolstadt,W. Europe Standard Time,true,1,1,postal_boundary,622
07343,Wurzbach,DE,Thüringen,Saale-Orla-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,492
07349,Lehesten,DE,Thüringen,Landkreis Saalfeld-Rudolstadt,W. Europe Standard Time,true,1,1,postal_boundary,142
07356,Lobenstein,DE,Thüringen,Saale-Orla-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,0
07366,Rosenthal am Rennsteig,DE,Thüringen,Saale-Orla-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,545
07368,Remptendorf,DE,Thüringen,Saale-Orla-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,665
07381,Pößneck,DE,Thüringen,Saale-Orla-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,2983
07387,Krölpa,DE,Thüringen,Saale-Orla-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,647
07389,Ranis u.a.,DE,Thüringen,Saale-Orla-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,0
07407,Rudolstadt,DE,Thüringen,Landkreis Saalfeld-Rudolstadt,W. Europe Standard Time,true,1,1,postal_boundary,2775
07422,Bad Blankenburg,DE,Thüringen,Landkreis Saalfeld-Rudolstadt,W. Europe Standard Time,true,1,1,postal_boundary,1283
07426,Königsee-Rottenbach u.a.,DE,Thüringen,Landkreis Saalfeld-Rudolstadt,W. Europe Standard Time,true,1,1,postal_boundary,0
07427,Schwarzburg,DE,Thüringen,Landkreis Saalfeld-Rudolstadt,W. Europe Standard Time,true,1,1,postal_boundary,88
07429,Döschnitz,DE,Thüringen,Landkreis Saalfeld-Rudolstadt,W. Europe Standard Time,false,2,1,postal_boundary,92
07429,Rohrbach,DE,Thüringen,Landkreis Saalfeld-Rudolstadt,W. Europe Standard Time,false,3,1,postal_boundary,92
07429,Sitzendorf,DE,Thüringen,Landkreis Saalfeld-Rudolstadt,W. Europe Standard Time,true,1,1,postal_boundary,133
07545,Gera,DE,Thüringen,Gera,W. Europe Standard Time,true,1,3,postal_boundary,2298
07546,Gera,DE,Thüringen,Gera,W. Europe Standard Time,true,1,2,postal_boundary,2854
07548,Gera,DE,Thüringen,Gera,W. Europe Standard Time,true,1,1,postal_boundary,3677
07549,Gera,DE,Thüringen,Gera,W. Europe Standard Time,true,1,5,postal_boundary,1547
07551,Gera,DE,Thüringen,Gera,W. Europe Standard Time,true,1,4,postal_boundary,1680
07552,Gera,DE,Thüringen,Gera,W. Europe Standard Time,true,1,6,postal_boundary,1132
07554,Brahmenau,DE,Thüringen,Greiz,W. Europe Standard Time,true,1,1,postal_boundary,71
07557,Gera,DE,Thüringen,Gera,W. Europe Standard Time,true,1,7,postal_boundary,74
07557,Zedlitz u.a.,DE,Thüringen,Gera,W. Europe Standard Time,false,2,1,postal_boundary,0
07557,Zedlitz u.a.,DE,Thüringen,Greiz,W. Europe Standard Time,false,3,1,postal_boundary,0
07570,Endschütz,DE,Thüringen,Greiz,W. Europe Standard Time,false,3,1,postal_boundary,129
07570,Harth-Pöllnitz,DE,Thüringen,Greiz,W. Europe Standard Time,false,2,1,postal_boundary,502
07570,Teichwitz,DE,Thüringen,Greiz,W. Europe Standard Time,false,4,1,postal_boundary,19
07570,Weida,DE,Thüringen,Greiz,W. Europe Standard Time,true,1,1,postal_boundary,1783
07580,Braunichswalde,DE,Thüringen,Greiz,W. Europe Standard Time,false,2,1,postal_boundary,243
07580,Großenstein u.a.,DE,Thüringen,Greiz,W. Europe Standard Time,false,3,1,postal_boundary,0
07580,Ronneburg,DE,Thüringen,Greiz,W. Europe Standard Time,true,1,1,postal_boundary,756
07586,Bad Köstritz,DE,Thüringen,Greiz,W. Europe Standard Time,true,1,1,postal_boundary,1241
07589,Bocka,DE,Thüringen,Greiz,W. Europe Standard Time,false,2,1,postal_boundary,176
07589,Münchenbernsdorf,DE,Thüringen,Greiz,W. Europe Standard Time,true,1,1,postal_boundary,875
07589,Schwarzbach,DE,Thüringen,Greiz,W. Europe Standard Time,false,3,1,postal_boundary,57
07607,Eisenberg,DE,Thüringen,Saale-Holzland-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,2620
07607,Gösen,DE,Thüringen,Saale-Holzland-Kreis,W. Europe Standard Time,false,3,1,postal_boundary,16
07607,Hainspitz,DE,Thüringen,Saale-Holzland-Kreis,W. Europe Standard Time,false,2,1,postal_boundary,251
07613,Crossen,DE,Thüringen,Saale-Holzland-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,0
07613,Heideland u.a.,DE,Thüringen,Saale-Holzland-Kreis,W. Europe Standard Time,false,2,1,postal_boundary,0
07616,Bürgel u.a.,DE,Thüringen,Saale-Holzland-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,0
07619,Schkölen,DE,Thüringen,Saale-Holzland-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,396
07629,Hermsdorf,DE,Thüringen,Saale-Holzland-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,768
07639,Bad Klosterlausnitz,DE,Thüringen,Saale-Holzland-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,1120
07646,Stadtroda u.a.,DE,Thüringen,Saale-Holzland-Kreis,W. Europe Standard Time,true,1,1,postal_boundary,0
07743,Jena,DE,Thüringen,Jena,W. Europe Standard Time,true,1,1,postal_boundary,5328
07745,Jena,DE,Thüringen,Jena,W. Europe Standard Time,true,1,3,postal_boundary,4207
07747,Jena,DE,Thüringen,Jena,W. Europe Standard Time,true,1,5,postal_boundary,1392
07749,Jena,DE,Thüringen,Jena,W. Europe Standard Time,true,1,2,postal_boundary,4334
07751,Bucha,DE,Thüringen,Saale-Holzland-Kreis,W. Europe Standard Time,false,2,1,postal_boundary,438
07751,Großpürschütz u.a.,DE,Thüringen,Jena,W. Europe Standard Time,false,3,1,postal_boundary,0
